,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
410,mahebourg,90,GE,1605073689,93,41.96,42.96,53.6,3.36
411,ozgon,75,PW,1605073280,70,7.04,134.26,86.0,9.13
412,lima,26,CL,1605073315,93,-41.87,-73.82,50.0,3.36
413,alugan,0,CL,1605073689,93,-33.46,-70.65,61.0,11.41
414,panna,0,RU,1605073689,82,59.57,150.8,5.83,6.22
415,anan,0,IN,1605073690,35,27.92,96.17,83.91,3.18
416,zheleznodorozhnyy,82,PG,1605073304,73,-2.67,141.3,84.06,5.03
417,snellville,20,BR,1605073690,83,-10.21,-48.36,77.0,3.36
418,adeje,58,ES,1605073691,99,39.49,-1.1,42.01,1.05
419,trabzon,6,SR,1605073392,87,5.88,-56.32,78.35,6.91
420,tillabery,3,MN,1605073367,75,49.98,92.07,36.16,4.23
421,asau,100,RU,1605073691,95,59.06,80.86,32.25,14.27
422,bay city,64,US,1605073331,84,38.48,-90.74,44.01,1.01
423,aras,75,US,1605073692,93,40.87,-72.8,61.0,6.93
424,halifax,79,MV,1605073692,72,5.67,73.0,82.87,6.85
425,kasongo,34,GT,1605073692,96,14.3,-91.92,68.0,6.85
426,shirokiy,40,RU,1605073693,85,64.75,177.48,23.0,6.71
427,caravelas,99,RU,1605073693,97,52.52,111.54,28.0,10.16
428,mehamn,0,PT,1605073693,93,38.44,-9.1,55.99,5.82
429,bur gabo,16,IR,1605073693,46,26.56,53.99,83.79,2.3
430,prabumulih,96,PT,1605073292,63,39.05,-27.98,60.62,14.29
431,ramshir,90,BR,1605073694,85,-0.61,-47.36,78.71,7.43
432,richards bay,53,MX,1605073311,87,18.73,-103.68,73.67,2.77
433,marmashen,0,UA,1605073694,97,50.77,35.26,31.78,5.7
434,popondetta,88,BR,1605073694,86,-11.44,-61.45,73.15,2.24
435,guozhen,82,ET,1605073695,66,4.05,38.3,66.34,13.2
436,si racha,0,CN,1605073695,47,32.21,119.43,70.0,1.99
437,canico,25,LY,1605073337,67,31.21,16.59,66.85,3.91
438,nisia floresta,9,BR,1605073695,84,-8.76,-35.1,75.69,9.46
439,port-gentil,0,TR,1605073696,39,36.37,30.29,70.34,6.31
440,gondar,100,PE,1605073696,89,-10.75,-77.77,58.64,0.6
441,lilongwe,75,BB,1605073281,88,13.22,-59.52,77.0,16.11
442,kodinsk,100,GB,1605073696,93,53.66,-1.85,48.0,3.0
443,batagay-alyta,12,ET,1605073696,54,8.12,38.37,65.12,11.56
444,cayenne,98,CO,1605073697,87,4.95,-77.37,76.06,5.06
445,ekibastuz,0,ML,1605073697,25,13.3,-4.9,70.93,7.0
446,krasnyye baki,0,IN,1605073289,30,20.51,76.21,76.3,8.41
447,tartagal,40,CY,1605073697,77,35.04,32.43,62.6,10.29
448,kabare,93,RU,1605073697,94,61.67,96.37,27.07,7.99
449,malwan,17,BR,1605073698,66,-11.09,-43.14,73.06,5.39
450,fare,90,IS,1605073698,92,66.04,-17.34,32.0,5.82
451,griffith,100,RU,1605073698,97,60.34,102.28,32.94,10.25
452,thunder bay,0,IT,1605073698,83,40.42,15.08,48.99,1.01
453,shymkent,71,AO,1605073237,83,-8.84,13.23,77.02,5.19
454,ortigueira,56,PH,1605073699,76,6.37,126.17,83.8,13.53
455,arroyo,90,AU,1605073700,58,-17.0,145.43,82.99,12.75
456,xai-xai,92,GF,1605073356,87,5.38,-52.95,78.21,6.49
457,sao jose da coroa grande,16,RU,1605073347,77,50.6,97.52,32.0,1.01
458,dauphin,34,PG,1605073700,72,-6.6,147.87,84.33,5.01
459,arica,100,GB,1605073701,93,53.41,-2.98,52.0,10.29
460,liberal,27,RU,1605073292,79,50.68,156.12,35.4,7.81
461,mersin,92,ID,1605073346,63,-0.95,100.35,86.81,6.46
462,coos bay,40,ID,1605073451,70,-8.65,115.22,87.8,14.99
463,svetlaya,84,RU,1605073702,90,65.75,150.85,-10.41,1.32
464,cherskiy,49,NZ,1605073702,78,-38.18,175.2,64.0,14.0
465,pergamino,35,BR,1605073702,92,-2.99,-65.11,74.21,1.1
466,chernyshevskiy,0,CA,1605073702,85,50.63,-96.99,19.4,1.12
467,matheran,80,ID,1605073393,57,-0.91,122.88,86.16,2.28
468,dibaya,0,CN,1605073703,53,30.63,117.85,66.0,5.68
469,polovinnoye,0,CN,1605073703,26,38.42,77.24,55.58,4.23
470,khani,4,CA,1605073703,89,50.32,-122.8,30.0,2.21
471,kloulklubed,89,SK,1605073703,94,48.22,18.61,45.0,1.01
472,ancud,76,PG,1605073704,80,-6.22,149.55,83.12,5.7
473,santiago del estero,1,MG,1605073704,34,-13.2,49.05,94.17,2.39
474,magadan,75,SB,1605073113,66,-9.43,159.95,89.6,9.17
475,uwayl,20,IL,1605073144,77,31.61,34.76,64.99,4.7
476,tezu,41,CN,1605073704,30,42.27,118.96,60.78,10.67
477,vanimo,75,JP,1605073705,88,24.8,125.28,73.4,17.22
478,palmas,75,ES,1605073329,87,42.78,-9.06,50.0,9.17
479,slave lake,40,JP,1605073705,48,31.46,131.23,64.4,10.29
480,requena,97,ID,1605073705,65,-3.33,128.92,86.22,5.01
481,cah ab,0,ES,1605073706,93,41.16,1.11,53.01,4.7
482,totness,0,IQ,1605073540,55,34.61,43.68,70.88,3.53
483,ulaangom,0,ML,1605073706,22,14.25,-5.99,71.35,9.75
484,kargasok,85,GL,1605073257,91,61.99,-49.67,25.25,24.18
485,pacific grove,12,CA,1605073380,92,54.02,-124.02,17.91,0.4
486,suffolk,0,IT,1605073706,93,40.57,9.69,51.8,1.12
487,ugoofaaru,90,US,1605073706,81,39.87,-88.97,46.0,13.87
488,champerico,0,US,1605073707,84,39.03,-92.33,37.0,7.54
490,anadyr,68,RU,1605073707,89,51.71,143.23,27.77,15.59
492,sosnovo-ozerskoye,75,MK,1605073708,93,42.16,21.59,39.0,1.05
493,sesimbra,100,BR,1605073673,90,-14.41,-56.45,72.82,3.53
494,deh rawud,75,MX,1605073513,88,21.17,-86.85,77.0,6.93
495,lagoa,75,TR,1605073708,82,40.5,38.5,57.2,6.93
496,salinopolis,0,BW,1605073709,56,-23.4,21.72,74.3,5.19
497,coahuayana,97,PE,1605073709,98,-8.48,-74.81,72.84,2.3
499,cacoal,5,RU,1605073709,84,50.35,90.5,22.15,8.16
